date,1. open,2. high,3. low,4. close,5. volume
2019-03-20,52.75,53.5,49.5,49.8,2350838.0
2019-03-21,49.99,50.0,48.2,48.98,1764671.0
2019-03-22,48.8,49.95,48.16,48.6,844690.0
2019-03-25,48.6,49.4,48.0,49.15,440892.0
2019-03-26,49.0,49.75,48.18,48.85,504734.0
2019-03-27,49.0,50.78,49.0,50.1,1788588.0
2019-03-28,50.9,51.0,49.915,50.85,585438.0
2019-03-29,49.52,52.48,49.18,51.63,1769027.0
2019-04-01,52.3,54.39,51.25,53.5,19663442.0
2019-04-02,55.12,57.39,54.3,56.25,17414153.0
2019-04-03,57.08,57.2,55.51,56.88,15066169.0
2019-04-04,57.2,60.52,57.1,59.71,13311868.0
2019-04-05,58.39,58.98,56.27,57.24,17000788.0
2019-04-08,56.5,58.39,56.27,57.15,10764569.0
2019-04-09,56.8,57.2,56.08,56.27,9179922.0
2019-04-10,55.99,56.41,55.1,55.71,9081860.0
2019-04-11,55.7,56.21,54.83,54.89,7346094.0
2019-04-12,55.93,58.33,55.93,58.3,9281662.0
2019-04-15,58.57,58.85,57.29,57.78,5727269.0
2019-04-16,58.71,58.99,57.84,58.5,6681567.0
2019-04-17,58.95,59.05,58.2,58.32,6420663.0
2019-04-18,58.36,58.61,57.55,57.77,5178855.0
2019-04-22,57.48,58.41,57.26,57.89,4401749.0
2019-04-23,57.29,57.84,57.0,57.64,5687232.0
2019-04-24,57.49,57.89,55.865,55.98,5431323.0
2019-04-25,55.76,55.98,54.82,55.33,6260460.0
2019-04-26,55.3,55.6,54.95,55.25,4009795.0
2019-04-29,55.05,55.685,54.8,55.5,5935245.0
2019-04-30,55.76,57.205,55.6,56.73,6454064.0
2019-05-01,56.82,57.48,55.88,56.13,7644453.0
2019-05-02,55.54,56.49,52.03,52.7,13932682.0
2019-05-03,53.2,53.35,51.72,53.3,7401851.0
2019-05-06,52.15,54.03,51.7,53.46,6089501.0
2019-05-07,52.86,53.325,52.65,52.95,7330785.0
2019-05-08,53.33,53.395,52.31,52.48,5390685.0
2019-05-09,52.26,53.14,51.55,52.93,4579758.0
2019-05-10,52.94,53.7141,52.49,53.07,4758371.0
2019-05-13,52.28,52.55,50.76,50.95,4213102.0
2019-05-14,51.33,53.0,50.84,52.48,4204519.0
2019-05-15,51.98,53.325,51.67,52.95,2928861.0
2019-05-16,53.29,53.55,52.73,52.98,3689745.0
2019-05-17,52.34,52.52,50.66,50.8,4440775.0
2019-05-20,50.4,50.54,49.92,50.08,5168422.0
2019-05-21,50.28,51.19,50.02,50.63,4968460.0
2019-05-22,50.46,50.61,49.965,50.21,3019120.0
2019-05-23,49.5,49.86,48.21,48.71,4919173.0
2019-05-24,49.39,49.575,48.44,49.2,2918936.0
2019-05-28,49.37,49.43,48.1,48.56,6613184.0
